iter	Passed	Remaining
824	4405	934
825	4411	929
826	4415	923
827	4420	918
828	4425	912
829	4429	907
830	4435	902
831	4440	896
832	4444	891
833	4449	885
834	4454	880
835	4459	874
836	4465	869
837	4472	864
838	4477	859
839	4485	854
840	4491	849
841	4497	843
842	4502	838
843	4509	833
844	4514	828
845	4520	822
846	4529	818
847	4539	813
848	4545	808
849	4551	803
850	4557	797
851	4566	793
852	4571	787
853	4577	782
854	4580	776
855	4586	771
856	4590	765
857	4595	760
858	4600	755
859	4604	749
860	4609	744
861	4614	738
862	4619	733
863	4625	728
864	4633	723
865	4637	717
866	4643	712
867	4648	706
868	4654	701
869	4660	696
870	4665	691
871	4671	685
872	4675	680
873	4681	674
874	4688	669
875	4694	664
876	4703	659
877	4710	654
878	4718	649
879	4723	644
880	4731	639
881	4740	634
882	4745	628
883	4751	623
884	4756	618
885	4762	612
886	4768	607
887	4776	602
888	4787	597
889	4793	592
890	4799	587
891	4805	581
892	4813	576
893	4818	571
894	4823	565
895	4828	560
896	4832	554
897	4837	549
898	4842	544
899	4848	538
900	4855	533
901	4862	528
902	4868	523
903	4875	517
904	4879	512
905	4885	506
906	4891	501
907	4895	496
908	4900	490
909	4905	485
910	4911	479
911	4915	474
912	4920	468
913	4927	463
914	4930	458
915	4937	452
916	4942	447
917	4949	442
918	4954	436
919	4958	431
920	4962	425
921	4969	420
922	4974	414
923	4978	409
924	4984	404
925	4989	398
926	4994	393
927	5000	387
928	5005	382
929	5010	377
930	5016	371
931	5021	366
932	5025	360
933	5031	355
934	5035	350
935	5040	344
936	5044	339
937	5049	333
938	5060	328
939	5066	323
940	5071	317
941	5076	312
942	5082	307
943	5086	301
944	5091	296
945	5097	290
946	5101	285
947	5105	280
948	5111	274
949	5118	269
950	5122	263
951	5126	258
952	5131	253
953	5136	247
954	5141	242
955	5145	236
956	5151	231
957	5155	226
958	5159	220
959	5163	215
960	5169	209
961	5173	204
962	5180	199
963	5185	193
964	5190	188
965	5194	182
966	5200	177
967	5205	172
968	5211	166
969	5215	161
970	5220	155
971	5225	150
972	5230	145
973	5236	139
974	5242	134
975	5247	129
976	5251	123
977	5261	118
978	5266	112
979	5270	107
980	5273	102
981	5277	96
982	5281	91
983	5285	85
984	5291	80
985	5295	75
986	5299	69
987	5304	64
988	5311	59
989	5316	53
990	5321	48
991	5326	42
992	5332	37
993	5337	32
994	5342	26
995	5355	21
996	5361	16
997	5366	10
998	5370	5
999	5376	0
